city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id
Modesto,Modesto,CA,California,6099,Stanislaus,37.6374,-121.0028,383134,1933,polygon,False,True,America/Los_Angeles,2,95358 95356 95355 95354 95351 95350 95352 95353 95397,1840020287
Anaheim,Anaheim,CA,California,6059,Orange,33.839,-117.8572,350365,2688,polygon,False,True,America/Los_Angeles,2,92808 92806 92807 92804 92805 92802 92801 92803 92809 92812 92815 92816 92817 92825 92850 92899,1840019322
Victorville,Victorville,CA,California,6071,San Bernardino,34.5277,-117.3536,346789,641,polygon,False,True,America/Los_Angeles,2,92394 92395 92392 92393,1840021731
Lancaster,Lancaster,CA,California,6037,Los Angeles,34.6935,-118.1753,343304,645,polygon,False,True,America/Los_Angeles,2,93535 93534 93536 93539 93584,1840020516
Santa Ana,Santa Ana,CA,California,6059,Orange,33.7366,-117.8819,332318,4689,polygon,False,True,America/Los_Angeles,2,92703 92701 92705 92704 92707 92706 92702 92712 92735 92799,1840021964
Santa Rosa,Santa Rosa,CA,California,6097,Sonoma,38.4458,-122.7067,324634,1605,polygon,False,True,America/Los_Angeles,2,95404 95409 95403 95401 95407 95405 95406,1840021488
Santa Clarita,Santa Clarita,CA,California,6037,Los Angeles,34.4175,-118.4964,312446,1162,polygon,False,True,America/Los_Angeles,2,91321 91351 91350 91355 91354 91387 91322 91382 91385 91386,1840021864
Antioch,Antioch,CA,California,6013,Contra Costa,37.9789,-121.7958,302419,1466,polygon,False,True,America/Los_Angeles,2,94531 94509,1840018903
Irvine,Irvine,CA,California,6059,Orange,33.6772,-117.7738,287401,1691,polygon,False,True,America/Los_Angeles,2,92617 92614 92612 92618 92620 92602 92603 92604 92606 92616 92619 92650 92697 92698,1840019325
Chula Vista,Chula Vista,CA,California,6073,San Diego,32.6281,-117.0145,274492,2134,polygon,False,True,America/Los_Angeles,2,91911 91910 91913 91915 91914 91902 91908 91909 91912 91921,1840019350
Fremont,Fremont,CA,California,6001,Alameda,37.5265,-121.9852,241110,1201,polygon,False,True,America/Los_Angeles,2,94536 94538 94539 94555 94537,1840020292
Visalia,Visalia,CA,California,6107,Tulare,36.3276,-119.3269,237386,1370,polygon,False,True,America/Los_Angeles,2,93277 93291 93292 93278 93279 93290,1840021639
San Bernardino,San Bernardino,CA,California,6071,San Bernardino,34.1417,-117.2946,215784,1341,polygon,False,True,America/Los_Angeles,2,92401 92407 92405 92408 92404 92411 92410 92346 92369 92403 92406 92413 92415 92418 92423 92427,1840021728
Thousand Oaks,Thousand Oaks,CA,California,6111,Ventura,34.1914,-118.8755,215029,885,polygon,False,True,America/Los_Angeles,2,91320 91360 91361 91362 91319 91358 91359,1840021844
Fontana,Fontana,CA,California,6071,San Bernardino,34.0968,-117.4599,214547,1923,polygon,False,True,America/Los_Angeles,2,92335 92336 92337 92334 92402,1840020402
Moreno Valley,Moreno Valley,CA,California,6065,Riverside,33.9244,-117.2045,213055,1604,polygon,False,True,America/Los_Angeles,2,92551 92553 92555 92557 92552 92554 92556,1840020552
Santa Barbara,Santa Barbara,CA,California,6083,Santa Barbara,34.4285,-119.7202,202401,1808,polygon,False,True,America/Los_Angeles,2,93105 93101 93103 93109 93102 93106 93120 93121 93130 93140 93190,1840021829
Glendale,Glendale,CA,California,6037,Los Angeles,34.1818,-118.2468,199303,2525,polygon,False,True,America/Los_Angeles,2,91210 91214 91046 91201 91204 91208 91203 91202 91205 91207 91206 91020 91209 91221 91222 91225 91226,1840020483
Huntington Beach,Huntington Beach,CA,California,6059,Orange,33.696,-118.0025,199223,2848,polygon,False,True,America/Los_Angeles,2,92646 92647 92648 92649 90742 92605 92615,1840020578
Salinas,Salinas,CA,California,6053,Monterey,36.6884,-121.6317,190972,2562,polygon,False,True,America/Los_Angeles,2,93901 93905 93906 93902 93915,1840021632
Ontario,Ontario,CA,California,6071,San Bernardino,34.0393,-117.6064,185010,1429,polygon,False,True,America/Los_Angeles,2,91762 91761 91764 91743 91758,1840020410
Rancho Cucamonga,Rancho Cucamonga,CA,California,6071,San Bernardino,34.1248,-117.5666,177603,1709,polygon,False,True,America/Los_Angeles,2,91730 91701 91739 91737 91729,1840020411
Hemet,Hemet,CA,California,6065,Riverside,33.7341,-116.9969,177253,1125,polygon,False,True,America/Los_Angeles,2,92545 92543 92546,1840020550
Santa Cruz,Santa Cruz,CA,California,6087,Santa Cruz,36.9789,-122.0346,176428,1957,polygon,False,True,America/Los_Angeles,2,95065 95064 95060 95062 95061 95063 95067,1840021579
Oceanside,Oceanside,CA,California,6073,San Diego,33.2247,-117.3083,175742,1644,polygon,False,True,America/Los_Angeles,2,92054 92057 92058 92056 92049 92051 92052 92068,1840020623
Elk Grove,Elk Grove,CA,California,6067,Sacramento,38.416,-121.3842,174775,1605,polygon,False,True,America/Los_Angeles,2,95757 95758 95624 95759,1840020245
Vallejo,Vallejo,CA,California,6095,Solano,38.1133,-122.2358,173256,1524,polygon,False,True,America/Los_Angeles,2,94592 94590 94591 94589,1840021499
Garden Grove,Garden Grove,CA,California,6059,Orange,33.7787,-117.9601,171644,3690,polygon,False,True,America/Los_Angeles,2,92844 92843 92840 92841 92845 92842 92846,1840020577
Corona,Corona,CA,California,6065,Riverside,33.8616,-117.5649,169868,1640,polygon,False,True,America/Los_Angeles,2,92882 92880 92881 92879 92877 92878,1840019305
Hayward,Hayward,CA,California,6001,Alameda,37.6328,-122.0772,159203,1349,polygon,False,True,America/Los_Angeles,2,94541 94542 94545 94544 94540 94543 94557,1840020293
Palmdale,Palmdale,CA,California,6037,Los Angeles,34.5944,-118.1057,155079,564,polygon,False,True,America/Los_Angeles,2,93552 93550 93591 93551 93590 93599,1840020502
Sunnyvale,Sunnyvale,CA,California,6085,Santa Clara,37.3836,-122.0256,152703,2676,polygon,False,True,America/Los_Angeles,2,95002 94089 94085 94086 94087 94088,1840021573
Pomona,Pomona,CA,California,6037,Los Angeles,34.0585,-117.7626,151691,2548,polygon,False,True,America/Los_Angeles,2,91766 91767 91768 91769,1840020507
Escondido,Escondido,CA,California,6073,San Diego,33.1347,-117.0722,151625,1568,polygon,False,True,America/Los_Angeles,2,92029 92025 92026 92027 92030 92033 92046,1840020620
Fairfield,Fairfield,CA,California,6095,Solano,38.2592,-122.0324,148683,1097,polygon,False,True,America/Los_Angeles,2,94585 94533 94534 94535,1840020253
Merced,Merced,CA,California,6047,Merced,37.3057,-120.4778,145149,1390,polygon,False,True,America/Los_Angeles,2,95348 95340 95341 95343,1840020313
Torrance,Torrance,CA,California,6037,Los Angeles,33.8346,-118.3417,143592,2701,polygon,False,True,America/Los_Angeles,2,90277 90501 90503 90505 90504 90507 90508 90509 90510,1840021873
Roseville,Roseville,CA,California,6061,Placer,38.7703,-121.3196,141500,1239,polygon,False,True,America/Los_Angeles,2,95661 95747 95678,1840020233
Pasadena,Pasadena,CA,California,6037,Los Angeles,34.1597,-118.139,141029,2371,polygon,False,True,America/Los_Angeles,2,91101 91106 91107 91105 91103 91104 91102 91109 91110 91114 91115 91116 91117 91121 91123 91124 91125 91126 91129 91182 91184 91188 91189,1840020505
Santa Maria,Santa Maria,CA,California,6083,Santa Barbara,34.9334,-120.4432,140545,1815,polygon,False,True,America/Los_Angeles,2,93454 93455 93458,1840021830
Orange,Orange,CA,California,6059,Orange,33.8038,-117.8218,138669,2086,polygon,False,True,America/Los_Angeles,2,92868 92869 92866 92867 92865 92856 92857 92863 92864,1840020582
Fullerton,Fullerton,CA,California,6059,Orange,33.8841,-117.9279,138632,2386,polygon,False,True,America/Los_Angeles,2,92833 92831 92835 92832 92834 92836 92837 92838,1840020576
Santa Clara,Santa Clara,CA,California,6085,Santa Clara,37.3645,-121.968,130365,2761,polygon,False,True,America/Los_Angeles,2,95054 95050 95051 95053 95052 95055 95056,1840021571
Simi Valley,Simi Valley,CA,California,6111,Ventura,34.2663,-118.749,126589,1167,polygon,False,True,America/Los_Angeles,2,93063 93065 93062 93094 93099,1840021843
Berkeley,Berkeley,CA,California,6001,Alameda,37.8723,-122.276,121363,4473,polygon,False,True,America/Los_Angeles,2,94708 94707 94705 94704 94703 94702 94709 94710 94720 94701 94712,1840018914
Redding,Redding,CA,California,6089,Shasta,40.5698,-122.365,121313,599,polygon,False,True,America/Los_Angeles,2,96002 96003 96001,1840020141
East Los Angeles,East Los Angeles,CA,California,6037,Los Angeles,34.0326,-118.1691,121187,6282,polygon,False,False,America/Los_Angeles,2,90063 90022 90023,1840019206
Yuba City,Yuba City,CA,California,6101,Sutter,39.1357,-121.6381,120456,1736,polygon,False,True,America/Los_Angeles,2,95991 95993,1840021463
Gilroy,Gilroy,CA,California,6085,Santa Clara,37.0047,-121.5855,118993,1378,polygon,False,True,America/Los_Angeles,2,95020,1840020327
Chico,Chico,CA,California,6007,Butte,39.7575,-121.8152,117668,1191,polygon,False,True,America/Los_Angeles,2,95973 95926 95928 95927 95929 95976,1840018778
Seaside,Seaside,CA,California,6053,Monterey,36.6224,-121.8191,116720,1410,polygon,False,True,America/Los_Angeles,2,93955,1840021634
El Monte,El Monte,CA,California,6037,Los Angeles,34.0739,-118.0291,115487,4663,polygon,False,True,America/Los_Angeles,2,91732 91731 91733 91734 91735,1840020480
Carlsbad,Carlsbad,CA,California,6073,San Diego,33.1247,-117.2837,115382,1180,polygon,False,True,America/Los_Angeles,2,92008 92009 92011 92010 92013 92018,1840019352
Temecula,Temecula,CA,California,6065,Riverside,33.4928,-117.1315,114761,1188,polygon,False,True,America/Los_Angeles,2,92590 92591 92592 92589 92593,1840021937
Clovis,Clovis,CA,California,6019,Fresno,36.8278,-119.6831,114584,1741,polygon,False,True,America/Los_Angeles,2,93611 93612 93619 93613 93747,1840018944
Costa Mesa,Costa Mesa,CA,California,6059,Orange,33.6667,-117.9135,113003,2762,polygon,False,True,America/Los_Angeles,2,92626 92627 92628,1840019326
El Centro,El Centro,CA,California,6025,Imperial,32.7867,-115.5586,111425,1478,polygon,False,True,America/Los_Angeles,2,92243 92244,1840020630
Downey,Downey,CA,California,6037,Los Angeles,33.9379,-118.1312,111126,3457,polygon,False,True,America/Los_Angeles,2,90242 90240 90241 90239,1840019245
Richmond,Richmond,CA,California,6013,Contra Costa,37.9477,-122.339,110567,1420,polygon,False,True,America/Los_Angeles,2,94530 94850 94801 94803 94804 94805 94806 94802 94807 94808,1840020277
Jurupa Valley,Jurupa Valley,CA,California,6065,Riverside,34.001,-117.4705,109527,984,polygon,False,True,America/Los_Angeles,2,92509 91752 92519,1840043419
San Buenaventura,San Buenaventura,CA,California,6111,Ventura,34.2741,-119.2314,109106,1925,polygon,False,True,America/Los_Angeles,2,93004 93001 93003 93002 93005 93006 93007 93009,1840037414
Inglewood,Inglewood,CA,California,6037,Los Angeles,33.9566,-118.3444,108151,4604,polygon,False,True,America/Los_Angeles,2,90305 90304 90303 90302 90301 90306 90307 90308 90309 90311 90312,1840019237
Turlock,Turlock,CA,California,6099,Stanislaus,37.5053,-120.8588,107317,1679,polygon,False,True,America/Los_Angeles,2,95380 95382 95381,1840021533
Daly City,Daly City,CA,California,6081,San Mateo,37.6862,-122.4685,106280,5370,polygon,False,True,America/Los_Angeles,2,94015 94014 94016 94017,1840018926
West Covina,West Covina,CA,California,6037,Los Angeles,34.0555,-117.9112,105101,2529,polygon,False,True,America/Los_Angeles,2,91792 91791 91790 91793,1840021876
San Mateo,San Mateo,CA,California,6081,San Mateo,37.5521,-122.3122,104430,3312,polygon,False,True,America/Los_Angeles,2,94404 94401 94402 94403 94497,1840021551
Norwalk,Norwalk,CA,California,6037,Los Angeles,33.9069,-118.0829,103949,4133,polygon,False,True,America/Los_Angeles,2,90650 90651 90652,1840020501
Rialto,Rialto,CA,California,6071,San Bernardino,34.1174,-117.3894,103526,1665,polygon,False,True,America/Los_Angeles,2,92316 92376 92377,1840020407
Manteca,Manteca,CA,California,6077,San Joaquin,37.7927,-121.2264,103420,1498,polygon,False,True,America/Los_Angeles,2,95337 95336,1840020265
Arden-Arcade,Arden-Arcade,CA,California,6067,Sacramento,38.6034,-121.381,102864,2235,polygon,False,True,America/Los_Angeles,2,95864 95821 95825 95608 95860 95865 95866,1840036690
El Cajon,El Cajon,CA,California,6073,San Diego,32.8017,-116.9605,102708,2732,polygon,False,True,America/Los_Angeles,2,92020 92021 92019,1840020618
Burbank,Burbank,CA,California,6037,Los Angeles,34.1879,-118.3235,102511,2285,polygon,False,True,America/Los_Angeles,2,91506 91504 91505 91502 91501 91503 91507 91508 91510 91521 91522 91523 91526,1840019233
Vista,Vista,CA,California,6073,San Diego,33.1896,-117.2386,101638,2093,polygon,False,True,America/Los_Angeles,2,92084 92083 92081 92085,1840021994
Vacaville,Vacaville,CA,California,6095,Solano,38.359,-121.968,101444,1330,polygon,False,True,America/Los_Angeles,2,95687 95688,1840021498
Tracy,Tracy,CA,California,6077,San Joaquin,37.7269,-121.4522,100049,1412,polygon,False,True,America/Los_Angeles,2,95377 95376 95304,1840021518
San Marcos,San Marcos,CA,California,6073,San Diego,33.135,-117.1744,96664,1532,polygon,False,True,America/Los_Angeles,3,92078 92069 92079 92096,1840021991
Hesperia,Hesperia,CA,California,6071,San Bernardino,34.3975,-117.3147,95750,508,polygon,False,True,America/Los_Angeles,3,92345 92344 92340,1840020404
Compton,Compton,CA,California,6037,Los Angeles,33.893,-118.2275,95605,3680,polygon,False,True,America/Los_Angeles,2,90220 90221 90222 90223,1840019240
Menifee,Menifee,CA,California,6065,Riverside,33.6909,-117.1849,94756,787,polygon,False,True,America/Los_Angeles,3,92587 92586 92585 92584 92564,1840022903
Chino,Chino,CA,California,6071,San Bernardino,33.9836,-117.6654,94371,1229,polygon,False,True,America/Los_Angeles,3,91710 91708,1840019114
Hanford,Hanford,CA,California,6031,Kings,36.3274,-119.6549,94028,1280,polygon,False,True,America/Los_Angeles,3,93230,1840020382
South Gate,South Gate,CA,California,6037,Los Angeles,33.9448,-118.1926,93444,4985,polygon,False,True,America/Los_Angeles,2,90280,1840021870
Carson,Carson,CA,California,6037,Los Angeles,33.8374,-118.2559,91394,1883,polygon,False,True,America/Los_Angeles,3,90248 90810 90747 90746 90745 90224 90749 90895,1840019214
Livermore,Livermore,CA,California,6001,Alameda,37.6862,-121.7608,90923,1288,polygon,False,True,America/Los_Angeles,3,94550 94551,1840020294
Westminster,Westminster,CA,California,6059,Orange,33.7523,-117.9938,90643,3486,polygon,False,True,America/Los_Angeles,2,92683 92684 92685,1840021969
Santa Monica,Santa Monica,CA,California,6037,Los Angeles,34.0232,-118.4813,90401,4147,polygon,False,True,America/Los_Angeles,2,90401 90402 90403 90404 90405 90406 90407 90408 90409 90410 90411,1840021866
San Leandro,San Leandro,CA,California,6001,Alameda,37.7071,-122.1601,88815,2570,polygon,False,True,America/Los_Angeles,2,94578 94579 94577,1840021538
Citrus Heights,Citrus Heights,CA,California,6067,Sacramento,38.6948,-121.288,87796,2381,polygon,False,True,America/Los_Angeles,2,95621 95610 95611,1840018845
Hawthorne,Hawthorne,CA,California,6037,Los Angeles,33.9146,-118.3476,86068,5463,polygon,False,True,America/Los_Angeles,2,90250 90251 90310,1840020486
Redwood City,Redwood City,CA,California,6081,San Mateo,37.5026,-122.2252,85925,1721,polygon,False,True,America/Los_Angeles,3,94065 94062 94063 94061,1840020304
Lake Forest,Lake Forest,CA,California,6059,Orange,33.6606,-117.6712,85531,1985,polygon,False,True,America/Los_Angeles,3,92610 92679 92630 92609,1840020591
Napa,Napa,CA,California,6055,Napa,38.2976,-122.3011,85239,1679,polygon,False,True,America/Los_Angeles,3,94558 94559 94581,1840020241
Whittier,Whittier,CA,California,6037,Los Angeles,33.9678,-118.0188,85098,2242,polygon,False,True,America/Los_Angeles,2,90603 90602 90601 90606 90605 90607 90608 90609,1840021878
Newport Beach,Newport Beach,CA,California,6059,Orange,33.6151,-117.8669,84534,1370,polygon,False,True,America/Los_Angeles,3,92662 92663 92660 92661 92625 92657 92658 92659,1840020581
Milpitas,Milpitas,CA,California,6085,Santa Clara,37.4339,-121.8921,84196,2381,polygon,False,True,America/Los_Angeles,2,95035,1840020329
Madera,Madera,CA,California,6039,Madera,36.9631,-120.0782,84086,1557,polygon,False,True,America/Los_Angeles,3,93637 93638 93639,1840020300
Chino Hills,Chino Hills,CA,California,6071,San Bernardino,33.9508,-117.7253,83853,724,polygon,False,True,America/Los_Angeles,3,91709,1840019115
Alhambra,Alhambra,CA,California,6037,Los Angeles,34.084,-118.1355,83750,4237,polygon,False,True,America/Los_Angeles,2,91803 91801 91802 91804 91896 91899,1840019222
Mountain View,Mountain View,CA,California,6085,Santa Clara,37.4,-122.0796,82739,2664,polygon,False,True,America/Los_Angeles,2,94040 94041 94043 94039 94042,1840020332
Buena Park,Buena Park,CA,California,6059,Orange,33.8572,-118.0046,81788,3002,polygon,False,True,America/Los_Angeles,2,90621 90620 90622 90624,1840019324
Pleasanton,Pleasanton,CA,California,6001,Alameda,37.6663,-121.8805,81777,1307,polygon,False,True,America/Los_Angeles,3,94566 94588,1840020298
Folsom,Folsom,CA,California,6067,Sacramento,38.6668,-121.1422,81328,1126,polygon,False,True,America/Los_Angeles,3,95630 95671 95763,1840020246
Tustin,Tustin,CA,California,6059,Orange,33.7309,-117.8106,79348,2755,polygon,False,True,America/Los_Angeles,2,92780 92782 92606 92623 92781,1840021967
Lakewood,Lakewood,CA,California,6037,Los Angeles,33.8471,-118.1221,79307,3253,polygon,False,True,America/Los_Angeles,2,90715 90712 90713 90711 90714,1840020515
Perris,Perris,CA,California,6065,Riverside,33.7899,-117.2233,79291,970,polygon,False,True,America/Los_Angeles,3,92570 92571 92585 92572 92599,1840020557
Alameda,Alameda,CA,California,6001,Alameda,37.767,-122.2672,77624,2868,polygon,False,True,America/Los_Angeles,2,94502 94501,1840018913
Watsonville,Watsonville,CA,California,6087,Santa Cruz,36.9206,-121.7706,77352,3109,polygon,False,True,America/Los_Angeles,2,95076 95019 95077,1840021581
Porterville,Porterville,CA,California,6107,Tulare,36.0644,-119.0338,77318,1236,polygon,False,True,America/Los_Angeles,3,93257,1840020368
Upland,Upland,CA,California,6071,San Bernardino,34.1178,-117.6603,77140,1907,polygon,False,True,America/Los_Angeles,3,91784 91786 91785,1840021730
Davis,Davis,CA,California,6113,Yolo,38.5552,-121.7365,76997,2710,polygon,False,True,America/Los_Angeles,2,95618 95616 95617,1840018833
Camarillo,Camarillo,CA,California,6111,Ventura,34.223,-119.0322,76931,1371,polygon,False,True,America/Los_Angeles,3,93012 93010 93011,1840019201
Bellflower,Bellflower,CA,California,6037,Los Angeles,33.888,-118.1271,76435,4822,polygon,False,True,America/Los_Angeles,2,90706 90707,1840019230
San Ramon,San Ramon,CA,California,6013,Contra Costa,37.7625,-121.9365,75995,1570,polygon,False,True,America/Los_Angeles,3,94582 94583,1840021530
Baldwin Park,Baldwin Park,CA,California,6037,Los Angeles,34.0829,-117.9721,75251,4381,polygon,False,True,America/Los_Angeles,2,91706,1840019227
Rancho Cordova,Rancho Cordova,CA,California,6067,Sacramento,38.574,-121.2523,75087,827,polygon,False,True,America/Los_Angeles,3,95742 95670 95827 95741,1840020248
Lodi,Lodi,CA,California,6077,San Joaquin,38.1218,-121.2932,74773,1913,polygon,False,True,America/Los_Angeles,3,95240 95242,1840020263
Union City,Union City,CA,California,6001,Alameda,37.603,-122.0187,74107,1474,polygon,False,True,America/Los_Angeles,3,94587,1840021539
Apple Valley,Apple Valley,CA,California,6071,San Bernardino,34.5328,-117.2104,73453,378,polygon,False,True,America/Los_Angeles,3,92308 92307,1840021733
Pittsburg,Pittsburg,CA,California,6013,Contra Costa,38.0182,-121.8964,72588,1588,polygon,False,True,America/Los_Angeles,3,94565,1840020282
Redlands,Redlands,CA,California,6071,San Bernardino,34.0511,-117.1712,71513,770,polygon,False,True,America/Los_Angeles,3,92373 92374 92346 92375,1840020412
El Paso de Robles,El Paso de Robles,CA,California,6079,San Luis Obispo,35.6394,-120.656,70248,632,polygon,False,True,America/Los_Angeles,3,93446 93447,1840074847
Walnut Creek,Walnut Creek,CA,California,6013,Contra Costa,37.9024,-122.0398,70166,1371,polygon,False,True,America/Los_Angeles,3,94596 94597 94595 94598,1840021531
Lynwood,Lynwood,CA,California,6037,Los Angeles,33.924,-118.2017,69887,5575,polygon,False,True,America/Los_Angeles,2,90262,1840020492
Lake Elsinore,Lake Elsinore,CA,California,6065,Riverside,33.6847,-117.3344,69283,699,polygon,False,True,America/Los_Angeles,3,92570 92532 92530,1840020560
Rocklin,Rocklin,CA,California,6061,Placer,38.8075,-121.2488,68823,1341,polygon,False,True,America/Los_Angeles,3,95677 95765,1840020232
South San Francisco,South San Francisco,CA,California,6081,San Mateo,37.6536,-122.4197,67789,2837,polygon,False,True,America/Los_Angeles,2,94080 94128 94083,1840021552
Yorba Linda,Yorba Linda,CA,California,6059,Orange,33.889,-117.7714,67644,1316,polygon,False,True,America/Los_Angeles,3,92886 92887 92885,1840021970
Petaluma,Petaluma,CA,California,6097,Sonoma,38.2423,-122.6267,66929,1620,polygon,False,True,America/Los_Angeles,3,94954 94952 94953,1840020244
Redondo Beach,Redondo Beach,CA,California,6037,Los Angeles,33.8574,-118.3766,66749,4158,polygon,False,True,America/Los_Angeles,2,90278 90277,1840020509
Laguna Niguel,Laguna Niguel,CA,California,6059,Orange,33.5275,-117.705,66385,1738,polygon,False,True,America/Los_Angeles,3,92677 92607,1840020589
Florence-Graham,Florence-Graham,CA,California,6037,Los Angeles,33.9682,-118.2447,65716,7230,polygon,False,True,America/Los_Angeles,2,90001 90002 90052,1840037057
